,name,phone,principal,grades,division
0,A. Henderson Elementary,703-670-2885,Ms. Suzanne Bevans,PK-5,Prince William County Public Schools
1,A.G. Richardson Elementary,540-825-0616,Mrs. Susan E. Bridges,PK-5,Culpeper County Public Schools
2,A.M. Davis Elementary,804-674-1310,Dr. Rachel Foglesong,PK-5,Chesterfield County Public Schools
3,A.P. Hill Elementary,804-862-7002,Mrs. Kori Reddick,KG-5,Petersburg Public Schools
4,A.S. Rhodes Elementary,540-635-4556,Mrs. Doris S. Dean,KG-5,Warren County Public Schools
5,A.W.E. Bassette Elementary,757-727-1071,Mr. Bryce R. Johnson,PK-5,Hampton Public Schools
6,Abb's Valley-Boissevain Elementary,276-945-5969,Mr. Rodney Gillespie,PK-5,Tazewell County Public Schools
7,Aberdeen Elementary,757-825-4624,Ms. Karla C. Young,PK-5,Hampton Public Schools
8,Abingdon Elementary,703-228-6650,Ms. Joanne Uyeda,PK-5,Arlington County Public Schools
9,Abingdon Elementary,804-642-9885,Ms. LaQuiche Parrott,PK-5,Gloucester County Public Schools
10,Abingdon Elementary,276-739-3400,Mrs. Megan de Nobriga,PK-5,Washington County Public Schools
11,Abingdon High,276-739-3200,Mr. Jimmy King,9-12,Washington County Public Schools
12,Academy at Virginia Randolph,804-261-5085,Ms. Tanika J. Lawson,,Henrico County Public Schools
13,Accawmacke Elementary,757-787-8013,Clara B. Chandler,PK-5,Accomack County Public Schools
14,Achievable Dream Academy,757-928-6827,Ms. Terra Chalmers-Haris,PK-5,Newport News Public Schools
15,Achievable Dream Middle/High,757-283-7820,Ms. Marylin Sinclair-White,6-12,Newport News Public Schools
16,"Achievement, Integrity, And Maturity",703-660-2064, ,,Fairfax County Public Schools
17,Achilles Elementary,804-642-9140,Ms. Molly Broderson,PK-5,Gloucester County Public Schools
18,Acquinton Elementary,804-769-3434,Mrs. Tara Garner,3-5,King William County Public Schools
19,Addison Aerospace Magnet Middle,540-853-2681,Mr. Robert Johnson,6-8,Roanoke Public Schools
20,Admiral Richard E. Byrd Middle,540-662-0500,Ms. Teresa Ritenour,6-8,Frederick County Public Schools
21,Adult & Career Education Center,434-799-6471, ,,Danville Public Schools
22,Adult Education Center,804-328-4095, ,,Henrico County Public Schools
23,Adult Learning Ctr.,757-648-6050, ,,Virginia Beach Public Schools
24,Advanced Technology Center,757-648-5800,Mr. Michael D. Taylor,,Virginia Beach Public Schools
